League,Team1,Team2,Score
Ligue des Champions UEFA 2024/2025,Monaco,Aston Villa,"1
-
0"
Ligue des Champions UEFA 2024/2025,Atalanta,Sturm,"5
-
0"
Ligue des Champions UEFA 2024/2025,Étoile rouge,PSV,"2
-
3"
Ligue des Champions UEFA 2024/2025,Club Bruges,Juventus,"0
-
0"
Ligue des Champions UEFA 2024/2025,Atlético,Leverkusen,"2
-
1"
Ligue des Champions UEFA 2024/2025,Slovan,Stuttgart,"1
-
3"
Ligue des Champions UEFA 2024/2025,Benfica,Barcelone,"4
-
5"
Ligue des Champions UEFA 2024/2025,Liverpool,Lille,"2
-
1"
Ligue des Champions UEFA 2024/2025,Bologne,Dortmund,"2
-
1"
UEFA Europa League 2024/2025,Galatasaray,Dynamo Kiev,"3
-
3"
